SINGLE/CLUMP,Photos date,IPAM date,microPAM Date,Species,Crosstype,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Tank,Cassette,Plate.Slide,Well,Mom,Dad,Family,Genetic,Recruit,Survival T6,F microPAM,Fm' microPAM,YII_micro,F (IPAM),Fm' (IPAM),Y(II) (IPAM),IndID,Cone,popcross
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,D1,2,711,1222,B,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,5,1,0.199,0.2691,0.26,0.148,0.2804,0.472,2.711.1222.5,C93,SWIxSWI
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,D1,2,711,2848,A,Parke4,Parke2,Parke4xParke2,T.F5,1,1,0.1887,0.2672,0.294,0.199,0.376,0.471,2.711.2848.1,C76,PARxPAR
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,278,3162,C,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,0,0.0118,0.024,0,0.0475,0.1206,0.606,3.278.3162.1,C71,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,673,1246,A,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,0.1627,0.2152,0.244,0.2181,0.4216,0.483,3.673.1246.1,C67,SWIxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,673,2703,A,Parke5,Davies10,Parke5xDavies10,T.F23,1,1,0.1578,0.2039,0.226,0.1167,0.2426,0.519,3.673.2703.1,C88,PARxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,673,1434,C,Davies8,Davies6,Davies8xDavies6,T.F14,2,1,0.1235,0.2083,0.407,0.1721,0.4191,0.589,3.673.1434.2,C70,DAVxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,673,1219,B,Davies8,Davies10,Davies8xDavies10,T.F15,1,1,0.1108,0.1593,0.305,0.1265,0.2392,0.471,3.673.1219.1,C91,DAVxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,673,1987,D,Jewell8,Palms4,Jewell8xPalms4,T.F47,6*,0,0.1495,0.2412,0.38,0.0956,0.1931,0.505,3.673.1987.6*,C59,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,D1,3,475,2942,B,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,2,1,0.2196,0.2912,0.246,0.1966,0.3897,0.496,3.475.2942.2,C9,SWIxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,475,1427,D,Jewell3,Palms1,Jewell3xPalms1,T.F40,3,1,0.1961,0.2588,0.242,0.2559,0.499,0.487,3.475.1427.3,C60,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,475,1506,D,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,0.1676,0.251,0.332,0.2882,0.4946,0.417,3.475.1506.1,C101,JEWxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,475,2786,B,Jewell8,Davies13,Jewell8xDavies13,T.F65,1,1,0.1583,0.2279,0.305,0.2838,0.5461,0.48,3.475.2786.1,C62,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,475,2853,B,Switzer6,Davies1,Switzer6xDavies1,T.F29,1,1,0.1314,0.1897,0.307,0.1725,0.2907,0.406,3.475.2853.1,C68,SWIxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,D1,3,683,2309,A,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,1,1,0.0265,0.0549,0.518,0.1613,0.3343,0.518,3.683.2309.1,C13,PALxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,683,2950,B,Jewell8,Jewell2,Jewell8xJewell2,T.F1,2,1,0.1431,0.1966,0.272,0.2377,0.4103,0.421,3.683.2950.2,C74,JEWxJEW
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,683,1952,D,Jewell8,Palms5,Jewell8xPalms5,T.F53,5,1,0.1495,0.2162,0.308,0.152,0.2971,0.488,3.683.1952.5,C29,JEWxPAL
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,683,2744,B,Parke4,Parke2,Parke4xParke2,T.F5,3*,0,0.0088,0.0162,0,0.0618,0.1446,0.573,3.683.2744.3*,C76,PARxPAR
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,683,1461,A,Davies13,Davies1,Davies13xDavies1,T.F66,1,1,0.0289,0.0623,0.535,0.0662,0.1672,0.604,3.683.1461.1,C102,DAVxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,663,2871,D,Parke5,Davies6,Parke5xDavies6,T.F22,4,1,0.1466,0.2147,0.317,0.2186,0.3828,0.429,3.663.2871.4,C78,PARxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,663,2898,C,Jewell6,Palms1,Jewell6xPalms1,T.F38,1,1,0.0725,0.1118,0.351,0.0853,0.177,0.518,3.663.2898.1,C31,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,D1,3,663,2802,A,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,1,1,0.1015,0.1618,0.373,0.1265,0.2201,0.425,3.663.2802.1,C3,PARxPAR
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,663,1979,D,Palms5,Palms4,Palms5xPalms4,T.F34,3,1,0.0941,0.1745,0.461,0.099,0.1755,0.436,3.663.1979.3,C79,PALxPAL
S,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,D1,3,663,1208,D,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,3*,0,0.0181,0.0382,0,0.0397,0.0868,0.542,3.663.1208.3*,C7,SWIxSWI
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,431,1602,B,Jewell7,Davies1,Jewell7xDavies1,T.F62,1,1,0.2044,0.2941,0.305,0.1951,0.3583,0.456,3.431.1602.1,C38,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,431,1905,A,Jewell8,Palms1,Jewell8xPalms1,T.F42,2,1,0.2392,0.351,0.318,0.2015,0.3632,0.445,3.431.1905.2,C55,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,431,1275,B,Palms2,Davies1,Palms2xDavies1,T.F37,2,1,0.1701,0.2417,0.296,0.2426,0.4206,0.423,3.431.1275.2,C84,PALxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,431,1696,B,Switzer2,Davies1,Switzer2xDavies1,T.F26,4,1,0.1637,0.2245,0.271,0.1809,0.3221,0.438,3.431.1696.4,C96,SWIxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,431,2321,C,Jewell2,Jewell8,Jewell2xJewell8,T.F4,2,1,0.149,0.2338,0.363,0.1779,0.3525,0.495,3.431.2321.2,C85,JEWxJEW
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,449,2811,A,Parke5,Parke4,Parke5xParke4,T.F6,1,1,0.1118,0.1951,0.427,0.0696,0.15,0.536,3.449.2811.1,C83,PARxPAR
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,449,1203,A,Jewell8,Davies1,Jewell8xDavies1,T.F64,1,1,0.2275,0.3225,0.295,0.2069,0.3755,0.449,3.449.1203.1,C65,JEWxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,D1,3,449,1230,A,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,3,1,0.1534,0.2309,0.335,0.1598,0.2814,0.432,3.449.1230.3,C5,PARxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,D1,3,449,2723,B,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,3,1,0.1598,0.2289,0.302,0.1647,0.2691,0.388,3.449.2723.3,C1,JEWxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,449,2977,A,Jewell8,Davies6,Jewell8xDavies6,T.F18,4,1,0.202,0.2897,0.303,0.2275,0.4338,0.476,3.449.2977.4,C87,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,639,2349,C,Davies6,Davies1,Davies6xDavies1,T.F13,3,1,0.1309,0.1926,0.321,0.2069,0.3637,0.431,3.639.2349.3,C75,DAVxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,639,2316,C,Parke4,Davies1,Parke4xDavies1,T.F21,3,1,0.1412,0.2147,0.342,0.2343,0.4402,0.468,3.639.2316.3,C66,PARxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,639,1578,B,Palms2,Palms5,Palms2xPalms5,T.F35,2,1,0.1721,0.2382,0.278,0.3044,0.524,0.419,3.639.1578.2,C86,PALxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,639,2993,A,Palms4,Davies1,Palms4xDavies1,T.F36,1,1,0.0887,0.1275,0.304,0.1603,0.2662,0.398,3.639.2993.1,C81,PALxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,639,2890,B,Parke2,Parke5,Parke2xParke5,T.F8,2,1,0.0804,0.1436,0.44,0.0657,0.1309,0.498,3.639.2890.2,C90,PARxPAR
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,661,3151,B,Jewell5,Palms4,Jewell5xPalms4,T.F45,2*,0,0.0225,0.0471,0,0.0583,0.1975,0.705,3.661.3151.2*,C34,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,661,1202,D,Davies1,Davies8,Davies1xDavies8,T.F16,7,1,0.1123,0.1946,0.423,0.1284,0.3333,0.615,3.661.1202.7,C82,DAVxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,661,1264,C,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,2*,0,0.0098,0.0186,0,0.0549,0.1662,0.67,3.661.1264.2*,C80,SWIxSWI
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,661,1956,A,Palms4,Palms2,Palms4xPalms2,T.F33,1,0,0.0123,0.0245,0,0.1279,0.3691,0.653,3.661.1956.1,C94,PALxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,661,2354,B,Jewell2,Palms1,Jewell2xPalms1,T.F39,3*,1,0.1353,0.1892,0.285,0.1348,0.3039,0.556,3.661.2354.3*,C30,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,674,1509,D,Switzer2,Davies6,Switzer2xDavies6,T.F28,2,0,0.0147,0.0309,0,0.0632,0.1387,0.544,3.674.1509.2,C98,SWIxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,674,2857,A,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,1,1,0.1319,0.2181,0.396,0.1819,0.3539,0.486,3.674.2857.1,C69,SWIxSWI
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,674,1431,A,Jewell8,Jewell3,Jewell8xJewell3,T.F68,1,1,0.1402,0.2328,0.398,0.248,0.4583,0.459,3.674.1431.1,C100,JEWxJEW
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,674,1226,D,Switzer4,Davies8,Switzer4xDavies8,T.F31,3*,0,0.0299,0.0667,0.551,0.0838,0.2162,0.612,3.674.1226.3*,C72,SWIxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,D1,3,674,1225,D,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,4,1,0.1235,0.1941,0.364,0.1201,0.2343,0.487,3.674.1225.4,C93,SWIxSWI
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,652,1626,D,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,0.1255,0.05,0,0.1005,0.2373,0.576,4.652.1626.1,C71,JEWxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,652,2733,A,Palms4,Davies1,Palms4xDavies1,T.F36,1,1,0.1843,0.2696,0.316,0.2755,0.5422,0.492,4.652.2733.1,C81,PALxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,652,1419,C,Switzer7,Davies10,Switzer7xDavies10,T.F32,5*,0,0.1809,0.2711,0.333,0.1436,0.3034,0.527,4.652.1419.5*,C67,SWIxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,652,1988,B,Jewell8,Palms5,Jewell8xPalms5,T.F53,1,1,0.152,0.1108,0,0.3074,0.5025,0.388,4.652.1988.1,C29,JEWxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,652,1525,B,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,0.175,0.0696,0,0.2363,0.4529,0.478,4.652.1525.1,C101,JEWxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,426,1595,C,Jewell2,Davies8,Jewell2xDavies8,T.F20,1,1,0.1093,0.0392,0,0.125,0.2779,0.55,4.426.1595.1,C77,JEWxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,426,1612,B,Jewell5,Palms4,Jewell5xPalms4,T.F45,1,1,0.3113,0.1539,0,0.2789,0.5789,0.518,4.426.1612.1,C34,JEWxPAL
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,426,1466,A,Jewell2,Jewell8,Jewell2xJewell8,T.F4,3,1,0.2873,0.3015,0.047,0.2363,0.4363,0.458,4.426.1466.3,C85,JEWxJEW
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,426,2775,B,Switzer6,Davies1,Switzer6xDavies1,T.F29,8,1,0.25,0.3088,0.19,0.2941,0.5123,0.426,4.426.2775.8,C68,SWIxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,426,1631,A,Jewell7,Davies1,Jewell7xDavies1,T.F62,4,1,0.199,0.2843,0.3,0.248,0.4819,0.485,4.426.1631.4,C38,JEWxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,463,1551,D,Jewell5,Palms5,Jewell5xPalms5,T.F51,1,1,0.1775,0.0093,0,0.2603,0.5789,0.55,4.463.1551.1,C64,JEWxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,463,1446,B,Davies8,Davies6,Davies8xDavies6,T.F14,3,1,0.126,0.1892,0.334,0.2333,0.4873,0.521,4.463.1446.3,C70,DAVxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,463,1995,C,Jewell8,Palms1,Jewell8xPalms1,T.F42,4,1,0.1966,0.0804,0,0.1848,0.3789,0.512,4.463.1995.4,C55,JEWxPAL
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,463,1699,A,Switzer2,Davies1,Switzer2xDavies1,T.F26,1,1,0.1779,0.1431,0,0.2843,0.5828,0.512,4.463.1699.1,C96,SWIxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,463,1263,B,Palms2,Davies1,Palms2xDavies1,T.F37,2,1,0.1461,0.0608,0,0.2245,0.4505,0.502,4.463.1263.2,C84,PALxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,671,2323,A,Parke4,Parke2,Parke4xParke2,T.F5,1,1,0.1995,0.2819,0.292,0.2265,0.4029,0.438,4.671.2323.1,C76,PARxPAR
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,671,1903,B,Palms5,Palms4,Palms5xPalms4,T.F34,1,1,0.251,0.3328,0.246,0.3216,0.6397,0.497,4.671.1903.1,C79,PALxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,671,2355,D,Jewell8,Jewell3,Jewell8xJewell3,T.F68,4,1,0.2775,0.1926,0,0.2387,0.4363,0.453,4.671.2355.4,C100,JEWxJEW
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,671,2997,A,Parke4,Davies1,Parke4xDavies1,T.F21,6,1,0.1691,0.1456,0,0.1946,0.4103,0.526,4.671.2997.6,C66,PARxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,671,2822,B,Parke5,Davies10,Parke5xDavies10,T.F23,4,1,0.1637,0.1382,0,0.201,0.4025,0.501,4.671.2822.4,C88,PARxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,416,1597,A,Jewell6,Palms4,Jewell6xPalms4,T.F43,1,1,0.2358,0.0819,0,0.2588,0.4554,0.432,4.416.1597.1,C39,JEWxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,416,2815,A,Davies1,Davies8,Davies1xDavies8,T.F16,1,1,0.1681,0.2525,0.334,0.2397,0.475,0.495,4.416.2815.1,C82,DAVxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,416,2339,C,Jewell2,Palms1,Jewell2xPalms1,T.F39,6,1,0.1348,0.1858,0.274,0.2721,0.4338,0.373,4.416.2339.6,C30,JEWxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,416,2873,C,Davies8,Davies10,Davies8xDavies10,T.F15,3,1,0.1897,0.2044,0.072,0.2387,0.4279,0.442,4.416.2873.3,C91,DAVxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,416,1500,B,Jewell6,Palms1,Jewell6xPalms1,T.F38,1,1,0.1863,0.0897,0,0.1833,0.3804,0.518,4.416.1500.1,C31,JEWxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5C,AMB,SS,4,394,2315,D,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,4,1,0.1348,0.2265,0.405,0.1147,0.2627,0.563,4.394.2315.4,C5,PARxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,394,2869,C,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,4,1,0.1505,0.2436,0.382,0.151,0.3191,0.527,4.394.2869.4,C93,SWIxSWI
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,394,1429,D,Jewell8,Jewell2,Jewell8xJewell2,T.F1,8,1,0.1951,0.2926,0.333,0.2157,0.448,0.519,4.394.1429.8,C74,JEWxJEW
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,394,2880,A,Parke5,Parke4,Parke5xParke4,T.F6,1,1,0.2431,0.1779,0,0.2667,0.5186,0.486,4.394.2880.1,C83,PARxPAR
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,394,1232,A,Jewell8,Davies1,Jewell8xDavies1,T.F64,2,1,0.1691,0.1755,0.036,0.1686,0.323,0.478,4.394.1232.2,C65,JEWxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,441,1423,B,Davies13,Davies1,Davies13xDavies1,T.F66,2,1,0.1995,0.1471,0,0.2221,0.4172,0.468,4.441.1423.2,C102,DAVxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,441,1630,A,Jewell2,Palms4,Jewell2xPalms4,T.F44,5,1,0.1373,0.0598,0,0.15,0.3221,0.534,4.441.1630.5,C56,JEWxPAL
S,19.04.21,12.04.21,13.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5C,AMB,SS,4,441,2783,B,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,3,1,0.1618,0.2632,0.385,0.2368,0.4858,0.513,4.441.2783.3,C13,PALxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,441,2770,D,Davies6,Davies1,Davies6xDavies1,T.F13,3,1,0.1529,0.2412,0.366,0.1755,0.3956,0.556,4.441.2770.3,C75,DAVxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,441,1261,C,Jewell8,Davies13,Jewell8xDavies13,T.F65,5,1,0.1593,0.2417,0.341,0.1402,0.2618,0.464,4.441.1261.5,C62,JEWxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,419,2859,C,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,5,1,0.1279,0.223,0.426,0.1931,0.4142,0.534,4.419.2859.5,C69,SWIxSWI
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,419,1926,C,Jewell8,Palms4,Jewell8xPalms4,T.F47,6,1,0.1647,0.0348,0,0.2392,0.45,0.468,4.419.1926.6,C59,JEWxPAL
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,419,1937,A,Palms4,Palms2,Palms4xPalms2,T.F33,7,1,0.1191,0.1015,0,0.1431,0.3137,0.544,4.419.1937.7,C94,PALxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,419,1212,B,Switzer4,Davies8,Switzer4xDavies8,T.F31,2,1,0.1554,0.25,0.378,0.198,0.4441,0.554,4.419.1212.2,C72,SWIxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,419,2836,D,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,6,1,0.1681,0.0088,0,0.1863,0.3686,0.495,4.419.2836.6,C80,SWIxSWI
C,19.04.21,12.04.21,13.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5C,AMB,SS,4,631,2318,B,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,4,1,0.2809,0.3858,0.272,0.352,0.6662,0.472,4.631.2318.4,C1,JEWxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,631,1690,D,Switzer2,Davies6,Switzer2xDavies6,T.F28,4,1,0.3,0.1676,0,0.2167,0.3873,0.441,4.631.1690.4,C98,SWIxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,631,2735,C,Jewell8,Davies6,Jewell8xDavies6,T.F18,3,1,0.3539,0.2377,0,0.3049,0.5912,0.484,4.631.2735.3,C87,JEWxDAV
C,19.04.21,12.04.21,13.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5C,AMB,SS,4,631,2892,B,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,2,1,0.2843,0.0804,0,0.3186,0.5922,0.462,4.631.2892.2,C3,PARxPAR
C,19.04.21,12.04.21,13.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5C,AMB,SS,4,631,1258,A,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,1,1,0.1971,0.0838,0,0.1422,0.2877,0.506,4.631.1258.1,C9,SWIxDAV
S,19.04.21,12.04.21,13.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5C,AMB,SS,4,700,1282,B,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,4,1,0.1667,0.074,0,0.1892,0.4309,0.561,4.700.1282.4,C7,SWIxSWI
S,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,700,1295,C,Parke2,Parke5,Parke2xParke5,T.F8,3,1,0.1804,0.3191,0.435,0.1975,0.4961,0.602,4.700.1295.3,C90,PARxPAR
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,700,1522,D,Palms2,Palms5,Palms2xPalms5,T.F35,3,1,0.1706,0.2892,0.41,0.173,0.3642,0.525,4.700.1522.3,C86,PALxPAL
C,19.04.21,12.04.21,13.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5C,AMB,SS,4,700,1493,C,Jewell3,Palms1,Jewell3xPalms1,T.F40,1,1,0.2074,0.0902,0,0.2554,0.5211,0.51,4.700.1493.1,C60,JEWxPAL
